id,value,nearTokenId,createdAt
139685,150000,btc.omft.near,2025-09-02 7:15:37
139686,20000,btc.omft.near,2025-09-02 7:15:37
139687,100000000,btc.omft.near,2025-09-02 7:15:37
139696,640000,btc.omft.near,2025-09-02 7:19:28
139707,21668,btc.omft.near,2025-09-02 7:24:58
139708,26547,btc.omft.near,2025-09-02 7:24:58
139713,24000,btc.omft.near,2025-09-02 7:28:08
139714,23000,btc.omft.near,2025-09-02 7:28:08
139715,398000,btc.omft.near,2025-09-02 7:28:08
139754,15000,btc.omft.near,2025-09-02 7:43:58
139755,210000,btc.omft.near,2025-09-02 7:43:58
139756,20000000,btc.omft.near,2025-09-02 7:43:58
139757,820000,btc.omft.near,2025-09-02 7:43:58
139758,3525583,btc.omft.near,2025-09-02 7:43:58
139816,45690,btc.omft.near,2025-09-02 8:00:37
139818,261813,btc.omft.near,2025-09-02 8:00:37
139841,3000000,btc.omft.near,2025-09-02 8:07:34
139842,10413,btc.omft.near,2025-09-02 8:07:34
139843,425000,btc.omft.near,2025-09-02 8:07:34
139844,25206,btc.omft.near,2025-09-02 8:07:34
139845,2000000,btc.omft.near,2025-09-02 8:07:34
139846,530000,btc.omft.near,2025-09-02 8:07:34
139928,3200000,btc.omft.near,2025-09-02 8:34:42
139929,3500000,btc.omft.near,2025-09-02 8:34:42
139930,15000,btc.omft.near,2025-09-02 8:34:42
139931,52125,btc.omft.near,2025-09-02 8:34:42
139932,620000,btc.omft.near,2025-09-02 8:34:42
139933,1480000,btc.omft.near,2025-09-02 8:34:42
139965,4900000,btc.omft.near,2025-09-02 8:46:15
139981,90000,btc.omft.near,2025-09-02 8:51:58
139982,183000,btc.omft.near,2025-09-02 8:51:58
139983,14800,btc.omft.near,2025-09-02 8:51:58
140015,20000,btc.omft.near,2025-09-02 9:00:34
140016,462000,btc.omft.near,2025-09-02 9:00:34
140017,24820,btc.omft.near,2025-09-02 9:00:34
140018,20700,btc.omft.near,2025-09-02 9:00:34
140019,999998,btc.omft.near,2025-09-02 9:00:35
140031,126331,btc.omft.near,2025-09-02 9:05:31
140038,200000,btc.omft.near,2025-09-02 9:08:47
140055,13000,btc.omft.near,2025-09-02 9:15:10
140071,253522,btc.omft.near,2025-09-02 9:21:55
140072,55269,btc.omft.near,2025-09-02 9:21:55
140073,4398800,btc.omft.near,2025-09-02 9:21:55
140074,10000,btc.omft.near,2025-09-02 9:21:55
140075,1288124,btc.omft.near,2025-09-02 9:21:55
140076,50057,btc.omft.near,2025-09-02 9:21:55
140090,93900,btc.omft.near,2025-09-02 9:26:00
140101,10000,btc.omft.near,2025-09-02 9:31:02
140102,1000000,btc.omft.near,2025-09-02 9:31:02
